N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
6,110,0,0,0.1,29.55,11.829824041045804,61.4,14.184498581197715
6,110,0,0,0.11,51,11.69045194450012,77.75,4.112987559751022
6,110,0,0,0.12,29.77777777777778,4.024232155883212,61.666666666666664,6
6,110,0,0,0.13,32.44444444444444,25.81235707520291,62.22222222222222,19.835434062415786
6,110,0,0,0.14,47.5,3.5355339059327378,80,4.242640687119285
6,110,0,0,0.15,36,1.5491933384829668,68.83333333333333,4.262237284181474
6,110,0,0,0.16,28.333333333333332,1.5275252316519468,64.33333333333333,3.7859388972001824
6,110,0,0,0.17,31.2,11.233877335986895,60.4,16.92040188648012
6,110,0,0,0.18,39,2,73,3
6,110,0,0,0.19,23.5,8.386497083606082,49.75,10.874281585465774
6,110,0,0,0.2,32.6,12.934450123604018,64.4,13.594116374373144
6,110,0,0,0.21,31.666666666666668,18.14754345175493,60.333333333333336,17.03917055884274
6,110,0,0,0.22,25.5,0.7071067811865476,52.5,3.5355339059327378
6,110,0,0,0.23,30.6,9.528903399657276,61.2,11.34460224071342
6,110,0,0,0.24,22,NA,54,NA
6,110,0,0,0.25,20,NA,54,NA
6,110,0,0,0.26,26.5,10.606601717798213,57,15.556349186104045
6,110,0,0,0.27,25,9.899494936611665,59.5,7.7781745930520225
6,110,0,0,0.28,29,NA,64,NA
6,110,0,0,0.29,28,NA,66,NA
6,110,0,0,0.32,24,0,55.333333333333336,2.309401076758503
6,110,0,0,0.33,23,NA,54,NA
6,110,0,0,0.34,22,0,54.5,2.1213203435596424
6,110,0,0,0.37,19,0,53.5,4.949747468305833
6,110,0,0,0.38,18,0,49.5,3.5355339059327378
6,110,0,0,0.4,17,NA,42,NA
6,110,0,0,0.41,16,NA,46,NA
6,110,0,0.3,0.1,29.55,11.829824041045804,61.4,14.184498581197715
6,110,0,0.3,0.11,51,11.69045194450012,77.75,4.112987559751022
6,110,0,0.3,0.12,29.77777777777778,4.024232155883212,61.666666666666664,6
6,110,0,0.3,0.13,32.44444444444444,25.81235707520291,62.22222222222222,19.835434062415786
6,110,0,0.3,0.14,47.5,3.5355339059327378,80,4.242640687119285
6,110,0,0.3,0.15,36,1.5491933384829668,68.83333333333333,4.262237284181474
6,110,0,0.3,0.16,28.333333333333332,1.5275252316519468,64.33333333333333,3.7859388972001824
6,110,0,0.3,0.17,31.2,11.233877335986895,60.4,16.92040188648012
6,110,0,0.3,0.18,39,2,73,3
6,110,0,0.3,0.19,23.5,8.386497083606082,49.75,10.874281585465774
6,110,0,0.3,0.2,32.6,12.934450123604018,64.4,13.594116374373144
6,110,0,0.3,0.21,31.666666666666668,18.14754345175493,60.333333333333336,17.03917055884274
6,110,0,0.3,0.22,25.5,0.7071067811865476,52.5,3.5355339059327378
6,110,0,0.3,0.23,30.6,9.528903399657276,61.2,11.34460224071342
6,110,0,0.3,0.24,22,NA,54,NA
6,110,0,0.3,0.25,20,NA,54,NA
6,110,0,0.3,0.26,26.5,10.606601717798213,57,15.556349186104045
6,110,0,0.3,0.27,25,9.899494936611665,59.5,7.7781745930520225
6,110,0,0.3,0.28,29,NA,64,NA
6,110,0,0.3,0.29,28,NA,66,NA
6,110,0,0.3,0.32,24,0,55.333333333333336,2.309401076758503
6,110,0,0.3,0.33,23,NA,54,NA
6,110,0,0.3,0.34,22,0,54.5,2.1213203435596424
6,110,0,0.3,0.37,19,0,53.5,4.949747468305833
6,110,0,0.3,0.38,18,0,49.5,3.5355339059327378
6,110,0,0.3,0.4,17,NA,42,NA
6,110,0,0.3,0.41,16,NA,46,NA
6,110,0,0.5,0.1,29.55,11.829824041045804,61.4,14.184498581197715
6,110,0,0.5,0.11,51,11.69045194450012,77.75,4.112987559751022
6,110,0,0.5,0.12,29.77777777777778,4.024232155883212,61.666666666666664,6
6,110,0,0.5,0.13,32.44444444444444,25.81235707520291,62.22222222222222,19.835434062415786
6,110,0,0.5,0.14,47.5,3.5355339059327378,80,4.242640687119285
6,110,0,0.5,0.15,36,1.5491933384829668,68.83333333333333,4.262237284181474
6,110,0,0.5,0.16,28.333333333333332,1.5275252316519468,64.33333333333333,3.7859388972001824
6,110,0,0.5,0.17,31.2,11.233877335986895,60.4,16.92040188648012
6,110,0,0.5,0.18,39,2,73,3
6,110,0,0.5,0.19,23.5,8.386497083606082,49.75,10.874281585465774
6,110,0,0.5,0.2,32.6,12.934450123604018,64.4,13.594116374373144
6,110,0,0.5,0.21,31.666666666666668,18.14754345175493,60.333333333333336,17.03917055884274
6,110,0,0.5,0.22,25.5,0.7071067811865476,52.5,3.5355339059327378
6,110,0,0.5,0.23,30.6,9.528903399657276,61.2,11.34460224071342
6,110,0,0.5,0.24,22,NA,54,NA
6,110,0,0.5,0.25,20,NA,54,NA
6,110,0,0.5,0.26,26.5,10.606601717798213,57,15.556349186104045
6,110,0,0.5,0.27,25,9.899494936611665,59.5,7.7781745930520225
6,110,0,0.5,0.28,29,NA,64,NA
6,110,0,0.5,0.29,28,NA,66,NA
6,110,0,0.5,0.32,24,0,55.333333333333336,2.309401076758503
6,110,0,0.5,0.33,23,NA,54,NA
6,110,0,0.5,0.34,22,0,54.5,2.1213203435596424
6,110,0,0.5,0.37,19,0,53.5,4.949747468305833
6,110,0,0.5,0.38,18,0,49.5,3.5355339059327378
6,110,0,0.5,0.4,17,NA,42,NA
6,110,0,0.5,0.41,16,NA,46,NA
6,110,0,0.7,0.1,29.55,11.829824041045804,61.4,14.184498581197715
6,110,0,0.7,0.11,51,11.69045194450012,77.75,4.112987559751022
6,110,0,0.7,0.12,29.77777777777778,4.024232155883212,61.666666666666664,6
6,110,0,0.7,0.13,32.44444444444444,25.81235707520291,62.22222222222222,19.835434062415786
6,110,0,0.7,0.14,47.5,3.5355339059327378,80,4.242640687119285
6,110,0,0.7,0.15,36,1.5491933384829668,68.83333333333333,4.262237284181474
6,110,0,0.7,0.16,28.333333333333332,1.5275252316519468,64.33333333333333,3.7859388972001824
6,110,0,0.7,0.17,31.2,11.233877335986895,60.4,16.92040188648012
6,110,0,0.7,0.18,39,2,73,3
6,110,0,0.7,0.19,23.5,8.386497083606082,49.75,10.874281585465774
6,110,0,0.7,0.2,32.6,12.934450123604018,64.4,13.594116374373144
6,110,0,0.7,0.21,31.666666666666668,18.14754345175493,60.333333333333336,17.03917055884274
6,110,0,0.7,0.22,25.5,0.7071067811865476,52.5,3.5355339059327378
6,110,0,0.7,0.23,30.6,9.528903399657276,61.2,11.34460224071342
6,110,0,0.7,0.24,22,NA,54,NA
6,110,0,0.7,0.25,20,NA,54,NA
6,110,0,0.7,0.26,26.5,10.606601717798213,57,15.556349186104045
6,110,0,0.7,0.27,25,9.899494936611665,59.5,7.7781745930520225
6,110,0,0.7,0.28,29,NA,64,NA
6,110,0,0.7,0.29,28,NA,66,NA
6,110,0,0.7,0.32,24,0,55.333333333333336,2.309401076758503
6,110,0,0.7,0.33,23,NA,54,NA
6,110,0,0.7,0.34,22,0,54.5,2.1213203435596424
6,110,0,0.7,0.37,19,0,53.5,4.949747468305833
6,110,0,0.7,0.38,18,0,49.5,3.5355339059327378
6,110,0,0.7,0.4,17,NA,42,NA
6,110,0,0.7,0.41,16,NA,46,NA
6,110,0,1,0.1,29.55,11.829824041045804,61.4,14.184498581197715
6,110,0,1,0.11,51,11.69045194450012,77.75,4.112987559751022
6,110,0,1,0.12,29.77777777777778,4.024232155883212,61.666666666666664,6
6,110,0,1,0.13,32.44444444444444,25.81235707520291,62.22222222222222,19.835434062415786
6,110,0,1,0.14,47.5,3.5355339059327378,80,4.242640687119285
6,110,0,1,0.15,36,1.5491933384829668,68.83333333333333,4.262237284181474
6,110,0,1,0.16,28.333333333333332,1.5275252316519468,64.33333333333333,3.7859388972001824
6,110,0,1,0.17,31.2,11.233877335986895,60.4,16.92040188648012
6,110,0,1,0.18,39,2,73,3
6,110,0,1,0.19,23.5,8.386497083606082,49.75,10.874281585465774
6,110,0,1,0.2,32.6,12.934450123604018,64.4,13.594116374373144
6,110,0,1,0.21,31.666666666666668,18.14754345175493,60.333333333333336,17.03917055884274
6,110,0,1,0.22,25.5,0.7071067811865476,52.5,3.5355339059327378
6,110,0,1,0.23,30.6,9.528903399657276,61.2,11.34460224071342
6,110,0,1,0.24,22,NA,54,NA
6,110,0,1,0.25,20,NA,54,NA
6,110,0,1,0.26,26.5,10.606601717798213,57,15.556349186104045
6,110,0,1,0.27,25,9.899494936611665,59.5,7.7781745930520225
6,110,0,1,0.28,29,NA,64,NA
6,110,0,1,0.29,28,NA,66,NA
6,110,0,1,0.32,24,0,55.333333333333336,2.309401076758503
6,110,0,1,0.33,23,NA,54,NA
6,110,0,1,0.34,22,0,54.5,2.1213203435596424
6,110,0,1,0.37,19,0,53.5,4.949747468305833
6,110,0,1,0.38,18,0,49.5,3.5355339059327378
6,110,0,1,0.4,17,NA,42,NA
6,110,0,1,0.41,16,NA,46,NA
6,110,0.3,0,0.16,21,1.5811388300841898,46.6,0.8944271909999159
6,110,0.3,0,0.18,25,NA,55,NA
6,110,0.3,0,0.19,26,1.4142135623730951,50,1.4142135623730951
6,110,0.3,0,0.21,25.5,0.7071067811865476,54,7.0710678118654755
6,110,0.3,0,0.22,20,2.8284271247461903,46.5,6.363961030678928
6,110,0.3,0,0.24,23,1.7320508075688772,48,2.6457513110645907
6,110,0.3,0,0.25,27.2,3.63318042491699,58.2,2.16794833886788
6,110,0.3,0,0.26,26.333333333333332,6.506407098647712,53.333333333333336,7.637626158259733
6,110,0.3,0,0.27,25,1.4142135623730951,58.5,6.363961030678928
6,110,0.3,0,0.28,32,1.4142135623730951,58,1.4142135623730951
6,110,0.3,0,0.3,27.333333333333332,9.0737717258774655,56.333333333333336,11.718930554164631
