N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
6,110,0,0,0.1,19.1,5.349864730213181,71.35,15.805645227343032
6,110,0,0,0.12,25.833333333333332,2.228601953392904,89.33333333333333,8.16496580927726
6,110,0,0,0.13,18.857142857142858,1.5735915849388864,72.71428571428571,7.825477316949762
6,110,0,0,0.14,14.4,1.140175425099138,57,1.8708286933869707
6,110,0,0,0.15,11.5,0.7071067811865476,48.5,2.1213203435596424
6,110,0,0,0.16,27.666666666666668,1.1547005383792515,94.66666666666667,7.371114795831994
6,110,0,0,0.17,24,1,84,5.196152422706632
6,110,0,0,0.18,21,0,77,8.48528137423857
6,110,0,0,0.19,18.25,0.5,71,9.018499505645789
6,110,0,0,0.2,17,NA,71,NA
6,110,0,0,0.21,22.8,6.723094525588644,80.2,20.486580973896057
6,110,0,0,0.22,16.5,5.686240703077327,63.75,15.56438241627338
6,110,0,0,0.23,19.666666666666668,6.658328118479393,70.66666666666667,20.984120980716188
6,110,0,0,0.24,11,NA,50,NA
6,110,0,0,0.25,21,0,77,8.48528137423857
6,110,0,0,0.26,19,NA,82,NA
6,110,0,0,0.27,18,0,67.33333333333333,6.429100507328637
6,110,0,0,0.28,23,8.48528137423857,87,22.627416997969522
6,110,0,0,0.29,16,NA,58,NA
6,110,0,0,0.3,19.4,6.9498201415576215,70.6,18.256505689753446
6,110,0,0,0.31,19,8.48528137423857,71,22.627416997969522
6,110,0,0,0.32,18,8.48528137423857,67,28.284271247461902
6,110,0,0,0.33,23,NA,78,NA
6,110,0,0,0.34,11,NA,50,NA
6,110,0,0,0.35,21,0,77,8.48528137423857
6,110,0,0,0.37,19,NA,82,NA
6,110,0,0,0.38,18,0,67.33333333333333,6.429100507328637
6,110,0,0,0.4,17,NA,71,NA
6,110,0,0,0.41,16,NA,58,NA
6,110,0,0,0.42,15,NA,59,NA
6,110,0,0,0.43,14,0,56.5,2.1213203435596424
6,110,0,0,0.45,13,NA,55,NA
6,110,0,0,0.46,12,NA,47,NA
6,110,0,0,0.48,11,NA,50,NA
6,110,0,0.3,0.1,19.1,5.349864730213181,71.35,15.805645227343032
6,110,0,0.3,0.12,25.833333333333332,2.228601953392904,89.33333333333333,8.16496580927726
6,110,0,0.3,0.13,18.857142857142858,1.5735915849388864,72.71428571428571,7.825477316949762
6,110,0,0.3,0.14,14.4,1.140175425099138,57,1.8708286933869707
6,110,0,0.3,0.15,11.5,0.7071067811865476,48.5,2.1213203435596424
6,110,0,0.3,0.16,27.666666666666668,1.1547005383792515,94.66666666666667,7.371114795831994
6,110,0,0.3,0.17,24,1,84,5.196152422706632
6,110,0,0.3,0.18,21,0,77,8.48528137423857
6,110,0,0.3,0.19,18.25,0.5,71,9.018499505645789
6,110,0,0.3,0.2,17,NA,71,NA
6,110,0,0.3,0.21,22.8,6.723094525588644,80.2,20.486580973896057
6,110,0,0.3,0.22,16.5,5.686240703077327,63.75,15.56438241627338
6,110,0,0.3,0.23,19.666666666666668,6.658328118479393,70.66666666666667,20.984120980716188
6,110,0,0.3,0.24,11,NA,50,NA
6,110,0,0.3,0.25,21,0,77,8.48528137423857
6,110,0,0.3,0.26,19,NA,82,NA
6,110,0,0.3,0.27,18,0,67.33333333333333,6.429100507328637
6,110,0,0.3,0.28,23,8.48528137423857,87,22.627416997969522
6,110,0,0.3,0.29,16,NA,58,NA
6,110,0,0.3,0.3,19.4,6.9498201415576215,70.6,18.256505689753446
6,110,0,0.3,0.31,19,8.48528137423857,71,22.627416997969522
6,110,0,0.3,0.32,18,8.48528137423857,67,28.284271247461902
6,110,0,0.3,0.33,23,NA,78,NA
6,110,0,0.3,0.34,11,NA,50,NA
6,110,0,0.3,0.35,21,0,77,8.48528137423857
6,110,0,0.3,0.37,19,NA,82,NA
6,110,0,0.3,0.38,18,0,67.33333333333333,6.429100507328637
6,110,0,0.3,0.4,17,NA,71,NA
6,110,0,0.3,0.41,16,NA,58,NA
6,110,0,0.3,0.42,15,NA,59,NA
6,110,0,0.3,0.43,14,0,56.5,2.1213203435596424
6,110,0,0.3,0.45,13,NA,55,NA
6,110,0,0.3,0.46,12,NA,47,NA
6,110,0,0.3,0.48,11,NA,50,NA
6,110,0,0.5,0.1,19.1,5.349864730213181,71.35,15.805645227343032
6,110,0,0.5,0.12,25.833333333333332,2.228601953392904,89.33333333333333,8.16496580927726
6,110,0,0.5,0.13,18.857142857142858,1.5735915849388864,72.71428571428571,7.825477316949762
6,110,0,0.5,0.14,14.4,1.140175425099138,57,1.8708286933869707
6,110,0,0.5,0.15,11.5,0.7071067811865476,48.5,2.1213203435596424
6,110,0,0.5,0.16,27.666666666666668,1.1547005383792515,94.66666666666667,7.371114795831994
6,110,0,0.5,0.17,24,1,84,5.196152422706632
6,110,0,0.5,0.18,21,0,77,8.48528137423857
6,110,0,0.5,0.19,18.25,0.5,71,9.018499505645789
6,110,0,0.5,0.2,17,NA,71,NA
6,110,0,0.5,0.21,22.8,6.723094525588644,80.2,20.486580973896057
6,110,0,0.5,0.22,16.5,5.686240703077327,63.75,15.56438241627338
6,110,0,0.5,0.23,19.666666666666668,6.658328118479393,70.66666666666667,20.984120980716188
6,110,0,0.5,0.24,11,NA,50,NA
6,110,0,0.5,0.25,21,0,77,8.48528137423857
6,110,0,0.5,0.26,19,NA,82,NA
6,110,0,0.5,0.27,18,0,67.33333333333333,6.429100507328637
6,110,0,0.5,0.28,23,8.48528137423857,87,22.627416997969522
6,110,0,0.5,0.29,16,NA,58,NA
6,110,0,0.5,0.3,19.4,6.9498201415576215,70.6,18.256505689753446
6,110,0,0.5,0.31,19,8.48528137423857,71,22.627416997969522
6,110,0,0.5,0.32,18,8.48528137423857,67,28.284271247461902
6,110,0,0.5,0.33,23,NA,78,NA
6,110,0,0.5,0.34,11,NA,50,NA
6,110,0,0.5,0.35,21,0,77,8.48528137423857
6,110,0,0.5,0.37,19,NA,82,NA
6,110,0,0.5,0.38,18,0,67.33333333333333,6.429100507328637
6,110,0,0.5,0.4,17,NA,71,NA
6,110,0,0.5,0.41,16,NA,58,NA
6,110,0,0.5,0.42,15,NA,59,NA
6,110,0,0.5,0.43,14,0,56.5,2.1213203435596424
6,110,0,0.5,0.45,13,NA,55,NA
6,110,0,0.5,0.46,12,NA,47,NA
6,110,0,0.5,0.48,11,NA,50,NA
6,110,0,0.7,0.1,19.1,5.349864730213181,71.35,15.805645227343032
6,110,0,0.7,0.12,25.833333333333332,2.228601953392904,89.33333333333333,8.16496580927726
6,110,0,0.7,0.13,18.857142857142858,1.5735915849388864,72.71428571428571,7.825477316949762
6,110,0,0.7,0.14,14.4,1.140175425099138,57,1.8708286933869707
6,110,0,0.7,0.15,11.5,0.7071067811865476,48.5,2.1213203435596424
