N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
6,110,0,0,0.1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0,0.3,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0,0.5,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0,0.7,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.3,0.1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.3,0.3,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.3,0.5,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.3,0.7,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.3,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.5,0.1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.5,0.3,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.5,0.5,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.5,0.7,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.5,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.7,0.1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.7,0.3,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.7,0.5,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.7,0.7,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,0.7,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,1,0.1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,1,0.3,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,1,0.5,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,1,0.7,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0,1,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.3,0,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.3,0,0.3,40.85,28.124301160908402,65.5,13.58985689866953
6,110,0.3,0,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.3,0,0.7,31.75,13.22228979293757,60.65,13.160047192364592
6,110,0.3,0,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.3,0.3,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.3,0.3,0.3,38.1,18.781009445433803,65.15,12.921931581210051
6,110,0.3,0.3,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.3,0.3,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.3,0.3,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.3,0.5,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.3,0.5,0.3,38.1,18.781009445433803,65.15,12.921931581210051
6,110,0.3,0.5,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.3,0.5,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.3,0.5,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.3,0.7,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.3,0.7,0.3,38.1,18.781009445433803,65.15,12.921931581210051
6,110,0.3,0.7,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.3,0.7,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.3,0.7,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.3,1,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.3,1,0.3,38.1,18.781009445433803,65.15,12.921931581210051
6,110,0.3,1,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.3,1,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.3,1,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.5,0,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.5,0,0.3,40.85,28.124301160908402,65.5,13.58985689866953
6,110,0.5,0,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.5,0,0.7,31.75,13.22228979293757,60.65,13.160047192364592
6,110,0.5,0,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.5,0.3,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.5,0.3,0.3,38.1,18.781009445433803,65.15,12.921931581210051
6,110,0.5,0.3,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.5,0.3,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.5,0.3,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.5,0.5,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.5,0.5,0.3,38.1,18.781009445433803,65.15,12.921931581210051
6,110,0.5,0.5,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.5,0.5,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.5,0.5,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.5,0.7,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.5,0.7,0.3,38.1,18.781009445433803,65.15,12.921931581210051
6,110,0.5,0.7,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.5,0.7,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.5,0.7,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.5,1,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.5,1,0.3,41.1,27.956545227417347,65.4,13.327454844477206
6,110,0.5,1,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.5,1,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.5,1,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.7,0,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.7,0,0.3,40.85,28.124301160908402,65.5,13.58985689866953
6,110,0.7,0,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.7,0,0.7,31.75,13.22228979293757,60.65,13.160047192364592
6,110,0.7,0,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.7,0.3,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.7,0.3,0.3,38.1,18.781009445433803,65.15,12.921931581210051
6,110,0.7,0.3,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.7,0.3,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.7,0.3,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.7,0.5,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.7,0.5,0.3,39.8,26.24700484165564,64.9,12.60284011433012
6,110,0.7,0.5,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.7,0.5,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.7,0.5,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.7,0.7,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.7,0.7,0.3,40.1,27.458868761917532,64.85,12.465848082703905
6,110,0.7,0.7,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.7,0.7,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.7,0.7,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,0.7,1,0.1,32.15,14.235888673201595,56.9,11.378187812421485
6,110,0.7,1,0.3,40.55,29.297880289769843,64.85,12.465848082703905
6,110,0.7,1,0.5,28.25,5.747997362926546,58.6,8.216799223157652
6,110,0.7,1,0.7,31.3,12.139973120580665,60.3,12.528283790561343
6,110,0.7,1,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,1,0,0.1,30.3,11.323473523242722,60.15,11.379922301094474
6,110,1,0,0.3,32.35,13.176034863980973,62.6,12.950919495907373
6,110,1,0,0.5,29.85,10.584372790506817,62.55,12.824626802818823
6,110,1,0,0.7,33.6,14.346831669304844,65.1,12.948887373459016
6,110,1,0,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,1,0.3,0.1,30.3,11.323473523242722,60.15,11.379922301094474
6,110,1,0.3,0.3,32.65,14.001033796417358,62.6,12.991495193718892
6,110,1,0.3,0.5,29.8,10.571062785787086,62.4,12.7502321960281
6,110,1,0.3,0.7,34.1,15.583054223975749,65.25,13.277900119331647
6,110,1,0.3,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,1,0.5,0.1,30.3,11.323473523242722,60.15,11.379922301094474
6,110,1,0.5,0.3,32.65,14.001033796417358,62.6,12.991495193718892
6,110,1,0.5,0.5,29.8,10.571062785787086,62.4,12.7502321960281
6,110,1,0.5,0.7,34.1,15.583054223975749,65.25,13.277900119331647
6,110,1,0.5,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,1,0.7,0.1,30.3,11.323473523242722,60.15,11.379922301094474
6,110,1,0.7,0.3,32.65,14.001033796417358,62.6,12.991495193718892
6,110,1,0.7,0.5,29.8,10.571062785787086,62.4,12.7502321960281
6,110,1,0.7,0.7,34.1,15.583054223975749,65.25,13.277900119331647
6,110,1,0.7,1,32.55,17.11101522719395,64.05,13.820179753572406
6,110,1,1,0.1,30.3,11.323473523242722,60.15,11.379922301094474
6,110,1,1,0.3,32.4,13.307694647913488,62.6,12.991495193718892
6,110,1,1,0.5,29.8,10.571062785787086,62.4,12.7502321960281
6,110,1,1,0.7,33.6,14.346831669304844,65.1,12.948887373459016
6,110,1,1,1,32.55,17.11101522719395,64.05,13.820179753572406
8,210,0,0,0.1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0,0.3,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0,0.5,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0,0.7,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.3,0.1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.3,0.3,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.3,0.5,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.3,0.7,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.3,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.5,0.1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.5,0.3,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.5,0.5,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.5,0.7,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.5,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.7,0.1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.7,0.3,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.7,0.5,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.7,0.7,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,0.7,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,1,0.1,29.9,11.616231837616843,120.4,23.526916276335157
