N,TotEdge,A,G,E,t_mean,t_sd,edge_mean,edge_sd
6,110,0,0,0.1,44.6,17.78349323330339,55.95,8.48202433633064
6,110,0,0,0.3,44.4,13.593342023520966,56.6,7.829767758873486
6,110,0,0,0.5,54.55,36.76021161384598,58.2,11.537581612872092
6,110,0,0,0.7,44.8,16.314668891909257,56.4,9.538840269351958
6,110,0,0,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0,0.3,0.1,44.6,17.78349323330339,55.95,8.48202433633064
6,110,0,0.3,0.3,44.4,13.593342023520966,56.6,7.829767758873486
6,110,0,0.3,0.5,54.55,36.76021161384598,58.2,11.537581612872092
6,110,0,0.3,0.7,44.8,16.314668891909257,56.4,9.538840269351958
6,110,0,0.3,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0,0.5,0.1,44.6,17.78349323330339,55.95,8.48202433633064
6,110,0,0.5,0.3,44.4,13.593342023520966,56.6,7.829767758873486
6,110,0,0.5,0.5,54.55,36.76021161384598,58.2,11.537581612872092
6,110,0,0.5,0.7,44.8,16.314668891909257,56.4,9.538840269351958
6,110,0,0.5,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0,0.7,0.1,44.6,17.78349323330339,55.95,8.48202433633064
6,110,0,0.7,0.3,44.4,13.593342023520966,56.6,7.829767758873486
6,110,0,0.7,0.5,54.55,36.76021161384598,58.2,11.537581612872092
6,110,0,0.7,0.7,44.8,16.314668891909257,56.4,9.538840269351958
6,110,0,0.7,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0,1,0.1,44.6,17.78349323330339,55.95,8.48202433633064
6,110,0,1,0.3,44.4,13.593342023520966,56.6,7.829767758873486
6,110,0,1,0.5,54.55,36.76021161384598,58.2,11.537581612872092
6,110,0,1,0.7,44.8,16.314668891909257,56.4,9.538840269351958
6,110,0,1,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.3,0,0.1,58.75,25.96936454241501,58.7,8.297748584944435
6,110,0.3,0,0.3,47.5,18.5458180844376,56.35,7.9490151657462045
6,110,0.3,0,0.5,47.45,15.449322928444742,56.2,8.605995462161065
6,110,0.3,0,0.7,44.8,18.594283218802833,54.75,9.340770846134703
6,110,0.3,0,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.3,0.3,0.1,79.2,57.085900185597495,53.15,8.279810575000779
6,110,0.3,0.3,0.3,57.1,20.58589194978981,55.1,6.163560146880252
6,110,0.3,0.3,0.5,52.15,25.872714747800483,54.75,9.667498451812106
6,110,0.3,0.3,0.7,39.05,11.128318547031736,51.25,6.695442283256653
6,110,0.3,0.3,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.3,0.5,0.1,76.55,45.24026501853596,52.75,6.812334015360822
6,110,0.3,0.5,0.3,61.85,32.37490093461779,55.6,7.250408336958104
6,110,0.3,0.5,0.5,52.85,28.124301160908402,54.7,9.608658376145636
6,110,0.3,0.5,0.7,39.05,11.128318547031736,51.25,6.695442283256653
6,110,0.3,0.5,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.3,0.7,0.1,109.2,112.70109512380641,55.05,9.461695630833107
6,110,0.3,0.7,0.3,68,45.74644075887504,56.45,8.331771783518292
6,110,0.3,0.7,0.5,51,22.72026686277671,54.65,9.337389469507157
6,110,0.3,0.7,0.7,39.05,11.128318547031736,51.25,6.695442283256653
6,110,0.3,0.7,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.3,1,0.1,93.65,77.13711305543082,52.65,6.401274544141478
6,110,0.3,1,0.3,63.45,40.021671760763766,55.65,7.176533395654713
6,110,0.3,1,0.5,53.8,31.696919989836633,54.7,9.712173587280743
6,110,0.3,1,0.7,39.05,11.128318547031736,51.3,6.759788224649147
6,110,0.3,1,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.5,0,0.1,58.75,25.96936454241501,58.7,8.297748584944435
6,110,0.5,0,0.3,47.5,18.5458180844376,56.35,7.9490151657462045
6,110,0.5,0,0.5,47.45,15.449322928444742,56.2,8.605995462161065
6,110,0.5,0,0.7,44.8,18.594283218802833,54.75,9.340770846134703
6,110,0.5,0,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.5,0.3,0.1,68.6,27.723066588179446,53,6.155870112510924
6,110,0.5,0.3,0.3,61.85,32.46905409284678,55.8,7.367067544859781
6,110,0.5,0.3,0.5,48.25,19.64654784193048,54,8.669365301845465
6,110,0.5,0.3,0.7,39.05,11.128318547031736,51.25,6.695442283256653
6,110,0.5,0.3,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.5,0.5,0.1,66.6,27.79322143787468,52.35,6.02865962234602
6,110,0.5,0.5,0.3,60.1,27.435858211280244,55.75,7.489466286936466
