N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,35,103.18,40.39299414383161,35,0
6,36,120.67,31.615505378859936,35.95,0.21816321958744908
6,37,128.15,54.33758041439259,36.84,0.366973212479269
6,38,103.136,41.1332543738593,37.76,0.42742520713255516
6,39,149.94666666666666,50.144415328048254,38.68,0.46709936649691375
6,40,102.52,29.43459156711524,39.56,0.49738270801560014
8,64,119.12,33.37630026463147,64,0
8,65,119.08,36.12022934232195,65,0
8,66,135.37333333333333,43.67226427226629,65.77333333333333,0.4192345116490003
8,67,146.26,40.18858849587257,66.54,0.670297394590184
8,68,108.24,43.0252506385886,67.46666666666667,0.5256351730200943
8,69,146.3872,46.42995651019352,68.8144,0.3890949393077116
8,70,149.24,48.32040242301983,69.6,0.6956083436402524
8,71,147.28,33.38862081608044,71,0
8,73,147.76,36.255455651751625,72.44,0.7556240744811429
10,101,141.32,23.44987791425679,100.8,0.4016096644512494
10,102,130.28,31.08847935147515,101.76,0.42880178141180275
10,104,166.56,41.193504498090775,103.88,0.32539568672798425
10,105,139.32,44.28659855131098,104.7,0.4591768433773375
10,106,176.14,51.908171157648454,105.98,0.1402808428098354
10,107,185.56,64.93115460785891,106.8,0.4016096644512494
10,108,170.608,47.782039861577,107.864,0.3656746487219872
10,109,162.84,29.055952696423056,108.72,0.6672040844618539
10,110,134.97333333333333,54.44935176205845,108.58666666666667,1.611235063971905
10,111,153.12,48.23022743788046,111,0
12,149,142.2,26.22483432710054,148.12,0.9122817900824991
12,151,164.96,28.235016009066793,150.4,0.8032193289024988
12,152,170.94933333333333,39.377917932228996,151.62933333333334,0.8199995652361788
12,153,195,45.695344578294105,153,0
12,154,147.08,29.078787863569172,153.86,0.40130309830205313
12,155,203.6,69.75631709816969,154.48,1.0265550453064738
12,156,163.8,36.86614847289864,155.52,0.501610310127101
12,157,158.73333333333332,30.53784070288875,156.63466666666667,0.529729356115779
12,158,160.7,37.8886818038757,157.5,0.7294713935832061
12,159,172.54,36.58966540510902,158.66,0.8409690337120925
12,161,174.92,41.60676123714944,160.64,0.5593775342346631
12,162,163.72,41.248186665910616,161.36,0.8462440736915471
14,206,222.2,91.2767857283725,205.8,0.4016096644512494
14,207,193.76,20.6746689328722,206.92,0.27238492687205873
14,208,187.32,46.03182629722684,207.84,0.36808133743473326
14,209,174.908,38.11074983534237,208.592,0.6474664867046189
14,211,169.18,31.87493759345021,210.48,0.7823350898247402
14,212,157.68,23.480808910614094,211.36,0.744874962444986
14,214,197.44,35.31777401380674,213.8,0.4016096644512494
14,215,163.044,26.455882500410038,214.472,0.76127139480357775
14,216,175.98,41.67838710659554,215.78,0.5410832508379366
14,217,157.3,40.36094676907847,216.14,0.8737584421686833
14,219,187.58,43.637834989493705,218.7,0.6415969033165462
14,221,181.52,44.28383525075633,220.36,1.0954451150103321
14,222,177.024,49.65632311904307,221.148,1.1677115229384407
16,269,183.56,45.52124636878632,268.8,0.4918693768379647
16,274,182.84,51.02314465340784,273.92,0.27238492687205873
16,275,170.36,31.066889334196716,274.8,0.4016096644512494
16,276,168.88,42.06499083341468,275.56,0.780279015074391
16,277,138.64,37.277165889780214,275.2,1.3013640486415683
16,278,132.96,28.162088448949444,276.48,0.9469816226033043
16,279,145.36,22.840399973900237,277.76,1.1100711979490905
16,281,228.4,108.40931991835983,280.92,0.27238492687205873
16,282,154.44,41.77812882589132,281.004,1.1211654865329967
16,283,199.24,44.36494547609378,282.92,0.27238492687205873
16,284,203.96,36.39000217181247,283.88,0.3262692337674912
16,285,175.552,50.560227873005886,284.428,0.8899347929724806
16,286,161.272,39.03149596696692,285.456,0.6660427187694543
16,287,141.24,35.76725841036112,285.56,0.9016114605562928
16,288,172.18133333333333,43.47682612590499,287.0826666666667,1.1590579492709892
