N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,35,143.452,38.20310990515959,35,0
6,36,151.842,44.00975748066574,35.884,0.32054562701430817
6,37,148.992,46.93508005190742,36.744,0.47213326470317524
6,38,148.5552,49.611089176017586,37.6496,0.6796756390801235
6,39,134.94666666666666,40.92646768994067,38.626666666666665,0.6411331323560143
6,40,141.744,47.858459991636636,39.292,1.001372552026371
8,64,166.888,59.23752298190952,63.952,0.214626457197225
8,65,163.488,44.51342965167747,64.992,0.08944271909999159
8,66,164.464,42.88603427491142,65.744,0.4834811378897704
8,67,159.774,38.6845694797249,66.682,0.5454089675498264
8,68,156.344,37.47600387328084,67.47733333333333,0.7591814712167698
8,69,155.4944,42.38257213186595,68.5072,0.7512997285047307
8,70,144.52,33.64822767704789,69.144,0.9647329565321975
8,71,149.136,40.021636083982244,70.184,1.0578737042736002
8,73,158.728,39.769167827318434,72.384,0.8960846734184689
10,101,183.536,38.94009957407287,100.968,0.17670825235854976
10,102,184.888,33.968252730283126,101.856,0.3525025737723471
10,104,178.41333333333333,44.6640739397031,103.72266666666667,0.5644488422733029
10,105,176.412,43.1309095363142,104.656,0.5891113721830036
10,106,173.464,42.32339522217624,105.66,0.5600487643713675
10,107,185.352,47.18003541685279,106.56,0.722897396012249
10,108,176.7888,42.18628790471481,107.6176,0.6765371860456483
10,109,166.48,52.179219692727635,108.408,0.7940910811495683
10,110,171.84533333333334,46.840925171742086,109.272,1.0136184981999135
10,111,169.864,27.215194996723383,110.408,0.7838696402484445
12,149,206.456,65.43779415006136,148.72,0.5174378566396848
12,151,182.928,35.5940770716231,150.568,0.6640054410970226
12,152,185.07733333333334,36.98253516605342,151.56,0.7320033312802254
12,153,205.44,57.98378527518456,152.72,0.6425754631219991
12,154,187.86,47.94692932950466,153.616,0.6917064632669708
12,155,186.704,46.850445472416325,154.472,0.8649906562162192
12,156,175.296,38.82072609049898,155.032,1.3255309344049713
12,157,177.38133333333334,39.950653697252434,156.44533333333334,0.8054449285809845
12,158,188.68,43.93297194700565,157.596,0.8020956487345356
12,159,180.86,46.15218844206597,158.172,1.096917916556499
12,161,194.688,58.00047497024653,160.4,0.7828813612588127
12,162,171.832,32.32389907812644,161.128,1.2046683387769486
14,206,187.304,34.36854901345593,205.576,0.7434010770037414
14,207,205.336,43.15574644949272,206.72,0.5622535302317492
14,208,196.24,35.59797928299103,207.816,0.4469249774669916
14,209,198.612,41.85581312517388,208.316,0.8312085361220062
14,211,200.852,49.8961783149949,210.432,1.0244873338351992
14,212,192.712,41.528617416380825,211.616,0.6193649192728036
14,214,208.016,36.744537447871956,213.616,0.6448805840944007
14,215,197.332,36.79954622559412,214.516,0.8465284648297825
14,216,202.268,49.80754301675061,215.356,0.8719548273182127
14,217,191.4,44.29029828403003,216.088,1.0643247383173884
14,219,189.86,41.4671738369532,218.176,1.1269890938561398
14,221,198.32,64.26577878296229,220.328,0.9819007242374682
14,222,195.504,48.48444026480212,221.056,1.3843879949211955
16,269,208.744,42.34781176507616,268.64,0.6525384675349823
16,274,203.296,50.67544165665233,273.2,0.9919027007433419
16,275,207.392,48.72832785437923,274.664,0.7823042886243179
16,276,206.168,43.73629189718377,275.488,0.8077535908021798
16,277,197.632,40.63915480452081,276.144,0.973056375385013
16,278,202.408,47.40033619045061,277.04,1.2725387376067094
16,279,217.76,48.570600426661926,278.608,0.6462796758020778
16,281,204.664,44.543191073021944,280.048,1.1971471464789032
16,282,194.848,39.67438877283419,281.044,1.16941615199474
16,283,206.224,40.020934844234354,282.456,0.8181805148246379
16,284,198.048,35.86125953565868,283.432,0.927500978175295
16,285,213.964,54.562983612728615,284.356,0.9721338265418128
16,286,203.776,46.11239144916787,285.208,1.087287242814472
16,287,189.96,37.83653295171813,285.312,1.8202091336773862
16,288,197.61866666666666,42.84914682049349,287.11466666666666,1.342506767460545
