N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
6,35,0,0,0.1,122,53.74011537017761,35,0
6,35,0,0,0.3,122,53.74011537017761,35,0
6,35,0,0,0.5,122,53.74011537017761,35,0
6,35,0,0,0.7,122,53.74011537017761,35,0
6,35,0,0,1,122,53.74011537017761,35,0
6,35,0,0.3,0.1,122,53.74011537017761,35,0
6,35,0,0.3,0.3,122,53.74011537017761,35,0
6,35,0,0.3,0.5,122,53.74011537017761,35,0
6,35,0,0.3,0.7,122,53.74011537017761,35,0
6,35,0,0.3,1,122,53.74011537017761,35,0
6,35,0,0.5,0.1,122,53.74011537017761,35,0
6,35,0,0.5,0.3,122,53.74011537017761,35,0
6,35,0,0.5,0.5,122,53.74011537017761,35,0
6,35,0,0.5,0.7,122,53.74011537017761,35,0
6,35,0,0.5,1,122,53.74011537017761,35,0
6,35,0,0.7,0.1,122,53.74011537017761,35,0
6,35,0,0.7,0.3,122,53.74011537017761,35,0
6,35,0,0.7,0.5,122,53.74011537017761,35,0
6,35,0,0.7,0.7,122,53.74011537017761,35,0
6,35,0,0.7,1,122,53.74011537017761,35,0
6,35,0,1,0.1,122,53.74011537017761,35,0
6,35,0,1,0.3,122,53.74011537017761,35,0
6,35,0,1,0.5,122,53.74011537017761,35,0
6,35,0,1,0.7,122,53.74011537017761,35,0
6,35,0,1,1,122,53.74011537017761,35,0
6,35,0.3,0,0.1,160.5,48.79036790187178,35,0
6,35,0.3,0,0.3,153,1.4142135623730951,35,0
6,35,0.3,0,0.5,180,15.556349186104045,35,0
6,35,0.3,0,0.7,207,90.50966799187809,35,0
6,35,0.3,0,1,122,53.74011537017761,35,0
6,35,0.3,0.3,0.1,278,162.63455967290594,35,0
6,35,0.3,0.3,0.3,153,1.4142135623730951,35,0
6,35,0.3,0.3,0.5,174.5,21.920310216782973,35,0
6,35,0.3,0.3,0.7,185,59.39696961966999,35,0
6,35,0.3,0.3,1,122,53.74011537017761,35,0
6,35,0.3,0.5,0.1,278,162.63455967290594,35,0
6,35,0.3,0.5,0.3,153,1.4142135623730951,35,0
6,35,0.3,0.5,0.5,174.5,21.920310216782973,35,0
6,35,0.3,0.5,0.7,185,59.39696961966999,35,0
6,35,0.3,0.5,1,122,53.74011537017761,35,0
6,35,0.3,0.7,0.1,278,162.63455967290594,35,0
6,35,0.3,0.7,0.3,153,1.4142135623730951,35,0
6,35,0.3,0.7,0.5,174.5,21.920310216782973,35,0
6,35,0.3,0.7,0.7,185,59.39696961966999,35,0
6,35,0.3,0.7,1,122,53.74011537017761,35,0
6,35,0.3,1,0.1,278,162.63455967290594,35,0
6,35,0.3,1,0.3,153,1.4142135623730951,35,0
6,35,0.3,1,0.5,174.5,21.920310216782973,35,0
6,35,0.3,1,0.7,185,59.39696961966999,35,0
6,35,0.3,1,1,122,53.74011537017761,35,0
6,35,0.5,0,0.1,160.5,48.79036790187178,35,0
6,35,0.5,0,0.3,153,1.4142135623730951,35,0
6,35,0.5,0,0.5,180,15.556349186104045,35,0
6,35,0.5,0,0.7,207,90.50966799187809,35,0
6,35,0.5,0,1,122,53.74011537017761,35,0
6,35,0.5,0.3,0.1,215.5,74.24621202458749,35,0
